# TO BE USED TO INSERT MODEL ANNOTATIONS IN METABOLIC ATLAS DATABASE
# for REACTION ONLY
# annotations will be visible in the GEM browser pages and some can be used by the search engine
#
# some rules:
# this is a TAB separated file, thus TABs are not allowed in any field values
# each line added must have exactly 3 columns to be parsed properly
# do not modify the @ line
# column 'id' is mandatory, other columns are optional
# follow the max size limits
#
# columns description:
# column name    | description
# -----------------------------------------
# ec             | EC code, semicolon separated values
# pmid           | PMID, semicolon separated values
#
@id	ec	pmid
r_0682	EC:2.6.1.1	
r_0683	EC:2.6.1.1	
r_0687	EC:1.5.1.2	
r_0688	EC:1.1.1.-; EC: 1.1.1.21; EC: 1.1.1.265; EC: 1.1.1.283	12722185
r_0689	EC:4.3.1.17; EC: 4.3.1.19	2194168
r_0690	EC:1.1.1.381	12535615
r_0691	EC:1.1.1.14	
r_0692	EC:4.3.1.17; EC: 4.3.1.19	1628804
r_0693	EC:4.3.1.19	3289762
r_0694	EC:1.13.11.52	12062417
r_0695		8706696
r_0696		3908097
r_0697	EC:4.4.1.5	
r_0698	EC:5.4.99.7	
r_0699	EC:2.6.1.42	9748245
r_0700	EC:2.6.1.42	8798704
r_0701	EC:6.1.1.4	9742237
r_0702	EC:6.1.1.4	1990003
r_0703	EC:3.3.2.6	11601994
r_0704	EC:3.3.2.6	11601994
r_0705	EC:3.3.2.6	11601994
r_0706	EC:3.3.2.6	11601994
r_0707	EC:3.3.2.6	11601994
r_0708	EC:3.3.2.6	11601994
r_0711	EC:6.1.1.6	2903861
r_0712	EC:6.1.1.6	2016746
r_0713	EC:1.1.1.37	9175438
r_0714	EC:1.1.1.37	11914276
r_0715	EC:1.1.1.37	9175438
r_0716	EC:2.3.3.9	
r_0717	EC:2.3.3.9	11846793
r_0718	EC:1.1.1.38	9603875; 15491864; 22851014
r_0719	EC:1.1.1.38	9603875; 15491864; 22851014
r_0721	EC:2.3.1.39	15387819
r_0722	EC:2.7.7.13	
r_0723	EC:5.3.1.8	
r_0724	EC:1.5.1.5; EC: 3.5.4.9; EC: 6.3.4.3	
r_0725	EC:1.5.1.5; EC: 3.5.4.9; EC: 6.3.4.3	
r_0726	EC:2.5.1.6	194884
r_0727	EC:2.1.1.14	16083849
r_0728	EC:2.1.2.9	
r_0729	EC:6.1.1.10	6304034
r_0730	EC:6.1.1.10	2645139
r_0731	EC:1.5.1.15	
