@id	db_name	ext_id	link
r_0072	BiGG	4MOPDC	https://identifiers.org/bigg.reaction:4MOPDC
r_0073	KEGG	R05779	https://identifiers.org/kegg.reaction:R05779
r_0073	MetaNetX	MNXR103044	https://identifiers.org/metanetx.reaction:MNXR103044
r_0075	KEGG	R01402	https://identifiers.org/kegg.reaction:R01402
r_0075	MetaNetX	MNXR101745	https://identifiers.org/metanetx.reaction:MNXR101745
r_0075	BiGG	MTAP	https://identifiers.org/bigg.reaction:MTAP
r_0076	KEGG	R00511	https://identifiers.org/kegg.reaction:R00511
r_0076	MetaNetX	MNXR102034	https://identifiers.org/metanetx.reaction:MNXR102034
r_0076	BiGG	NTD4	https://identifiers.org/bigg.reaction:NTD4
r_0077	KEGG	R01126	https://identifiers.org/kegg.reaction:R01126
r_0077	MetaNetX	MNXR102030	https://identifiers.org/metanetx.reaction:MNXR102030
r_0077	BiGG	NTD11	https://identifiers.org/bigg.reaction:NTD11
r_0078	KEGG	R00963	https://identifiers.org/kegg.reaction:R00963
r_0078	MetaNetX	MNXR102032	https://identifiers.org/metanetx.reaction:MNXR102032
r_0078	BiGG	NTD2	https://identifiers.org/bigg.reaction:NTD2
r_0079	KEGG	R04463	https://identifiers.org/kegg.reaction:R04463
r_0079	MetaNetX	MNXR108904	https://identifiers.org/metanetx.reaction:MNXR108904
r_0079	BiGG	PRFGS	https://identifiers.org/bigg.reaction:PRFGS
r_0080	KEGG	R01224	https://identifiers.org/kegg.reaction:R01224
r_0080	MetaNetX	MNXR101752	https://identifiers.org/metanetx.reaction:MNXR101752
r_0080	BiGG	MTHFR3	https://identifiers.org/bigg.reaction:MTHFR3
r_0081	KEGG	R00830	https://identifiers.org/kegg.reaction:R00830
r_0081	MetaNetX	MNXR95695	https://identifiers.org/metanetx.reaction:MNXR95695
r_0081	BiGG	ALASm	https://identifiers.org/bigg.reaction:ALASm
r_0082	KEGG	R05779	https://identifiers.org/kegg.reaction:R05779
r_0082	MetaNetX	MNXR103044	https://identifiers.org/metanetx.reaction:MNXR103044
r_0083	KEGG	R09087	https://identifiers.org/kegg.reaction:R09087
r_0083	MetaNetX	MNXR101584	https://identifiers.org/metanetx.reaction:MNXR101584
r_0084	KEGG	R02301	https://identifiers.org/kegg.reaction:R02301
r_0084	MetaNetX	MNXR99668	https://identifiers.org/metanetx.reaction:MNXR99668
r_0084	BiGG	FTHFCL	https://identifiers.org/bigg.reaction:FTHFCL
r_0085	KEGG	R04405	https://identifiers.org/kegg.reaction:R04405
r_0085	MetaNetX	MNXR101555	https://identifiers.org/metanetx.reaction:MNXR101555
r_0085	BiGG	MHPGLUT	https://identifiers.org/bigg.reaction:MHPGLUT
r_0086	KEGG	R07392	https://identifiers.org/kegg.reaction:R07392
r_0086	MetaNetX	MNXR125830	https://identifiers.org/metanetx.reaction:MNXR125830
r_0086	BiGG	MDRPD	https://identifiers.org/bigg.reaction:MDRPD
r_0087	KEGG	R04420	https://identifiers.org/kegg.reaction:R04420
r_0087	MetaNetX	MNXR101759	https://identifiers.org/metanetx.reaction:MNXR101759
r_0087	BiGG	MTRI	https://identifiers.org/bigg.reaction:MTRI
r_0090	MetaNetX	MNXR124534	https://identifiers.org/metanetx.reaction:MNXR124534
r_0090	BiGG	PFK26	https://identifiers.org/bigg.reaction:PFK26
r_0091	KEGG	R02035	https://identifiers.org/kegg.reaction:R02035
r_0091	MetaNetX	MNXR102539	https://identifiers.org/metanetx.reaction:MNXR102539
r_0091	BiGG	PGL	https://identifiers.org/bigg.reaction:PGL
r_0092	KEGG	R05779	https://identifiers.org/kegg.reaction:R05779
r_0092	MetaNetX	MNXR103044	https://identifiers.org/metanetx.reaction:MNXR103044
r_0094	KEGG	R03210	https://identifiers.org/kegg.reaction:R03210
r_0094	MetaNetX	MNXR95854	https://identifiers.org/metanetx.reaction:MNXR95854
r_0095	MetaNetX	MNXR95211	https://identifiers.org/metanetx.reaction:MNXR95211
r_0095	BiGG	ACALDCD	https://identifiers.org/bigg.reaction:ACALDCD
r_0097	KEGG	R00006	https://identifiers.org/kegg.reaction:R00006
r_0097	MetaNetX	MNXR106335	https://identifiers.org/metanetx.reaction:MNXR106335
r_0099	KEGG	R01624	https://identifiers.org/kegg.reaction:R01624
r_0099	MetaNetX	MNXR95376	https://identifiers.org/metanetx.reaction:MNXR95376
r_0099	BiGG	ACOATAm	https://identifiers.org/bigg.reaction:ACOATAm
r_0100	MetaNetX	MNXR95204	https://identifiers.org/metanetx.reaction:MNXR95204
r_0100	BiGG	ACACT8p	https://identifiers.org/bigg.reaction:ACACT8p
r_0101	MetaNetX	MNXR124343	https://identifiers.org/metanetx.reaction:MNXR124343
r_0101	BiGG	ACACT9p	https://identifiers.org/bigg.reaction:ACACT9p
r_0102	KEGG	R03991	https://identifiers.org/kegg.reaction:R03991
r_0102	MetaNetX	MNXR95203	https://identifiers.org/metanetx.reaction:MNXR95203
r_0102	BiGG	ACACT7p	https://identifiers.org/bigg.reaction:ACACT7p
r_0103	KEGG	R00238	https://identifiers.org/kegg.reaction:R00238
r_0103	MetaNetX	MNXR95194	https://identifiers.org/metanetx.reaction:MNXR95194
r_0103	BiGG	ACACT1r	https://identifiers.org/bigg.reaction:ACACT1r
r_0104	KEGG	R00238	https://identifiers.org/kegg.reaction:R00238
r_0104	MetaNetX	MNXR95194	https://identifiers.org/metanetx.reaction:MNXR95194
r_0104	BiGG	ACACT1m	https://identifiers.org/bigg.reaction:ACACT1m
r_0105	KEGG	R03858	https://identifiers.org/kegg.reaction:R03858
r_0105	MetaNetX	MNXR95201	https://identifiers.org/metanetx.reaction:MNXR95201
r_0105	BiGG	ACACT6p	https://identifiers.org/bigg.reaction:ACACT6p
r_0106	KEGG	R03778	https://identifiers.org/kegg.reaction:R03778
r_0106	MetaNetX	MNXR95198	https://identifiers.org/metanetx.reaction:MNXR95198
r_0106	BiGG	ACACT4p	https://identifiers.org/bigg.reaction:ACACT4p
r_0107	KEGG	R04742	https://identifiers.org/kegg.reaction:R04742
r_0107	MetaNetX	MNXR95200	https://identifiers.org/metanetx.reaction:MNXR95200
r_0108	KEGG	R00742	https://identifiers.org/kegg.reaction:R00742
r_0108	MetaNetX	MNXR95219	https://identifiers.org/metanetx.reaction:MNXR95219
