@id	db_name	ext_id	link
HMR_4394	Recon3D	HEX1	https://identifiers.org/vmhreaction:HEX1
HMR_4394	MetaNetX	MNXR100612	https://identifiers.org/metanetx.reaction:MNXR100612
HMR_4394	HMR 2.0	HMR_4394	
HMR_4394	Ratcon	RCR10145	
HMR_4396	KEGG	R08639	https://identifiers.org/kegg.reaction:R08639
HMR_4396	BiGG	PGMT	https://identifiers.org/bigg.reaction:PGMT
HMR_4396	EHMN	R00959C	
HMR_4396	HepatoNET1	r0621	
HMR_4396	Recon3D	PGMT	https://identifiers.org/vmhreaction:PGMT
HMR_4396	MetaNetX	MNXR102528	https://identifiers.org/metanetx.reaction:MNXR102528
HMR_4396	MetaNetX	MNXR102548	https://identifiers.org/metanetx.reaction:MNXR102548
HMR_4396	HMR 2.0	HMR_4396	
HMR_4396	Ratcon	RCR10146	
HMR_4521	KEGG	R00303	https://identifiers.org/kegg.reaction:R00303
HMR_4521	BiGG	G6PPer	https://identifiers.org/bigg.reaction:G6PPer
HMR_4521	HepatoNET1	r0396	
HMR_4521	Recon3D	G6PPer	https://identifiers.org/vmhreaction:G6PPer
HMR_4521	MetaNetX	MNXR99912	https://identifiers.org/metanetx.reaction:MNXR99912
HMR_4521	HMR 2.0	HMR_4521	
HMR_4521	Ratcon	RCR11028	
HMR_6410	KEGG	R01699	https://identifiers.org/kegg.reaction:R01699
HMR_6410	EHMN	R01699M	
HMR_6410	HepatoNET1	r0383	
HMR_6410	Recon3D	r0383	https://identifiers.org/vmhreaction:r0383
HMR_6410	MetaNetX	MNXR102427	https://identifiers.org/metanetx.reaction:MNXR102427
HMR_6410	MetaNetX	MNXR107129	https://identifiers.org/metanetx.reaction:MNXR107129
HMR_6410	HMR 2.0	HMR_6410	
HMR_6410	Ratcon	RCR10446	
HMR_6412	KEGG	R02569	https://identifiers.org/kegg.reaction:R02569
HMR_6412	EHMN	R02569C	
HMR_6412	HepatoNET1	r0555	
HMR_6412	Recon3D	r0555	https://identifiers.org/vmhreaction:r0555
HMR_6412	MetaNetX	MNXR102430	https://identifiers.org/metanetx.reaction:MNXR102430
HMR_6412	MetaNetX	MNXR107584	https://identifiers.org/metanetx.reaction:MNXR107584
HMR_6412	HMR 2.0	HMR_6412	
HMR_6412	Ratcon	RCR14187	
HMR_7745	KEGG	R01602	https://identifiers.org/kegg.reaction:R01602
HMR_7745	Recon3D	HMR_7745	https://identifiers.org/vmhreaction:HMR_7745
HMR_7745	MetaNetX	MNXR107082	https://identifiers.org/metanetx.reaction:MNXR107082
HMR_7745	HMR 2.0	HMR_7745	
HMR_7745	Ratcon	RCR10447	
HMR_7746	KEGG	R01600	https://identifiers.org/kegg.reaction:R01600
HMR_7746	Recon3D	HMR_7746	https://identifiers.org/vmhreaction:HMR_7746
HMR_7746	MetaNetX	MNXR107081	https://identifiers.org/metanetx.reaction:MNXR107081
HMR_7746	HMR 2.0	HMR_7746	
HMR_7746	Ratcon	RCR10448	
HMR_7747	KEGG	R09086	https://identifiers.org/kegg.reaction:R09086
HMR_7747	Recon3D	HMR_7747	https://identifiers.org/vmhreaction:HMR_7747
HMR_7747	MetaNetX	MNXR112530	https://identifiers.org/metanetx.reaction:MNXR112530
HMR_7747	HMR 2.0	HMR_7747	
HMR_7747	Ratcon	RCR10449	
HMR_7748	KEGG	R02739	https://identifiers.org/kegg.reaction:R02739
HMR_7748	Recon3D	HMR_7748	https://identifiers.org/vmhreaction:HMR_7748
HMR_7748	MetaNetX	MNXR99911	https://identifiers.org/metanetx.reaction:MNXR99911
HMR_7748	HMR 2.0	HMR_7748	
HMR_7748	Ratcon	RCR10277	
HMR_7749	KEGG	R03321	https://identifiers.org/kegg.reaction:R03321
HMR_7749	Recon3D	HMR_7749	https://identifiers.org/vmhreaction:HMR_7749
HMR_7749	MetaNetX	MNXR99910	https://identifiers.org/metanetx.reaction:MNXR99910
HMR_7749	HMR 2.0	HMR_7749	
HMR_7749	Ratcon	RCR14188	
HMR_8360	BiGG	CAt7r	https://identifiers.org/bigg.reaction:CAt7r
HMR_8360	Recon3D	CAT2p	https://identifiers.org/vmhreaction:CAT2p
HMR_8360	MetaNetX	MNXR96461	https://identifiers.org/metanetx.reaction:MNXR96461
HMR_8360	HMR 2.0	HMR_8360	
HMR_8360	Ratcon	RCR11029	
HMR_8652	BiGG	CBPS	https://identifiers.org/bigg.reaction:CBPS
HMR_8652	Recon3D	CBPPer	https://identifiers.org/vmhreaction:CBPPer
HMR_8652	MetaNetX	MNXR96485	https://identifiers.org/metanetx.reaction:MNXR96485
HMR_8652	HMR 2.0	HMR_8652	
HMR_8652	Ratcon	RCR11030	
HMR_8757	BiGG	ETOHtx	https://identifiers.org/bigg.reaction:ETOHtx
HMR_8757	Recon3D	ETOHMO	https://identifiers.org/vmhreaction:ETOHMO
HMR_8757	MetaNetX	MNXR97980	https://identifiers.org/metanetx.reaction:MNXR97980
HMR_8757	HMR 2.0	HMR_8757	
HMR_8757	Ratcon	RCR11031	
HMR_3989	KEGG	R00028	https://identifiers.org/kegg.reaction:R00028
HMR_3989	BiGG	MALTe	https://identifiers.org/bigg.reaction:MALTe
HMR_3989	HepatoNET1	r0014	
HMR_3989	Recon3D	MALTe	https://identifiers.org/vmhreaction:MALTe
HMR_3989	MetaNetX	MNXR101350	https://identifiers.org/metanetx.reaction:MNXR101350
HMR_3989	HMR 2.0	HMR_3989	
HMR_3989	Ratcon	RCR30246	
HMR_4122	KEGG	R00286	https://identifiers.org/kegg.reaction:R00286
HMR_4122	BiGG	UDPGD	https://identifiers.org/bigg.reaction:UDPGD
HMR_4122	EHMN	R00286C	
HMR_4122	HepatoNET1	r0092	
HMR_4122	Recon3D	UDPGD	https://identifiers.org/vmhreaction:UDPGD
HMR_4122	MetaNetX	MNXR105063	https://identifiers.org/metanetx.reaction:MNXR105063
HMR_4122	HMR 2.0	HMR_4122	
HMR_4122	Ratcon	RCR14189	
HMR_4837	KEGG	R00010	https://identifiers.org/kegg.reaction:R00010
HMR_4837	BiGG	TREHe	https://identifiers.org/bigg.reaction:TREHe
HMR_4837	EHMN	R00010C	
HMR_4837	HepatoNET1	r0785	
HMR_4837	Recon3D	TREHe	https://identifiers.org/vmhreaction:TREHe
HMR_4837	MetaNetX	MNXR95163	https://identifiers.org/metanetx.reaction:MNXR95163
HMR_4837	HMR 2.0	HMR_4837	
HMR_4837	Ratcon	RCR30496	
HMR_5395	KEGG	R03681	https://identifiers.org/kegg.reaction:R03681
HMR_5395	HepatoNET1	r1387	
HMR_5395	Recon3D	HMR_5395	https://identifiers.org/vmhreaction:HMR_5395
HMR_5395	Recon3D	GGNG	https://identifiers.org/vmhreaction:GGNG
HMR_5395	HMR 2.0	HMR_5395	
HMR_5395	Ratcon	RCR14190	
HMR_5396	BiGG	GLGNS1	https://identifiers.org/bigg.reaction:GLGNS1
HMR_5396	HepatoNET1	r1388	
HMR_5396	Recon3D	GLGNS1	https://identifiers.org/vmhreaction:GLGNS1
HMR_5396	MetaNetX	MNXR100244	https://identifiers.org/metanetx.reaction:MNXR100244
HMR_5396	HMR 2.0	HMR_5396	
HMR_5396	Ratcon	RCR14191	
HMR_9727	Recon3D	HMR_9727	https://identifiers.org/vmhreaction:HMR_9727
HMR_9727	HMR 2.0	HMR_9727	
HMR_9727	Ratcon	RCR14192	
HMR_5397	BiGG	GLBRAN	https://identifiers.org/bigg.reaction:GLBRAN
HMR_5397	HepatoNET1	r1389	
HMR_5397	Recon3D	GLBRAN	https://identifiers.org/vmhreaction:GLBRAN
HMR_5397	MetaNetX	MNXR100154	https://identifiers.org/metanetx.reaction:MNXR100154
HMR_5397	HMR 2.0	HMR_5397	
HMR_5397	Ratcon	RCR11032	
HMR_5398	BiGG	GLPASE1	https://identifiers.org/bigg.reaction:GLPASE1
HMR_5398	HepatoNET1	r1390	
HMR_5398	Recon3D	GLPASE1	https://identifiers.org/vmhreaction:GLPASE1
HMR_5398	MetaNetX	MNXR100265	https://identifiers.org/metanetx.reaction:MNXR100265
HMR_5398	HMR 2.0	HMR_5398	
HMR_5398	Ratcon	RCR11033	
HMR_5399	HepatoNET1	r1391	
HMR_5399	Recon3D	r1391	https://identifiers.org/vmhreaction:r1391
HMR_5399	MetaNetX	MNXR105467	https://identifiers.org/metanetx.reaction:MNXR105467
HMR_5399	HMR 2.0	HMR_5399	
HMR_5399	Ratcon	RCR11034	
HMR_5400	HepatoNET1	r1392	
HMR_5400	Recon3D	r1392	https://identifiers.org/vmhreaction:r1392
HMR_5400	MetaNetX	MNXR105468	https://identifiers.org/metanetx.reaction:MNXR105468
HMR_5400	HMR 2.0	HMR_5400	
HMR_5400	Ratcon	RCR11035	
HMR_5401	HepatoNET1	r1393	
HMR_5401	Recon3D	r1393	https://identifiers.org/vmhreaction:r1393
HMR_5401	HMR 2.0	HMR_5401	
HMR_5401	Ratcon	RCR11036	
HMR_8568	EHMN	RE0958	
HMR_8568	Recon3D	RE0958C	https://identifiers.org/vmhreaction:RE0958C
HMR_8568	MetaNetX	MNXR103496	https://identifiers.org/metanetx.reaction:MNXR103496
HMR_8568	HMR 2.0	HMR_8568	
HMR_8568	Ratcon	RCR11037	
HMR_8569	EHMN	RE0958	
HMR_8569	Recon3D	RE0958E	https://identifiers.org/vmhreaction:RE0958E
HMR_8569	MetaNetX	MNXR103497	https://identifiers.org/metanetx.reaction:MNXR103497
HMR_8569	HMR 2.0	HMR_8569	
HMR_8569	Ratcon	RCR30247	
HMR_8570	EHMN	RE0951	
HMR_8570	Recon3D	HMR_8570	https://identifiers.org/vmhreaction:HMR_8570
HMR_8570	HMR 2.0	HMR_8570	
HMR_8570	Ratcon	RCR11038	
HMR_8571	EHMN	RE0951	
HMR_8571	Recon3D	HMR_8571	https://identifiers.org/vmhreaction:HMR_8571
HMR_8571	HMR 2.0	HMR_8571	
HMR_8571	Ratcon	RCR30248	
HMR_8572	EHMN	RE0944	
HMR_8572	Recon3D	HMR_8572	https://identifiers.org/vmhreaction:HMR_8572
HMR_8572	Recon3D	RE0944C	https://identifiers.org/vmhreaction:RE0944C
HMR_8572	MetaNetX	MNXR103495	https://identifiers.org/metanetx.reaction:MNXR103495
HMR_8572	HMR 2.0	HMR_8572	
HMR_8572	Ratcon	RCR11039	
HMR_8573	EHMN	RE0944	
HMR_8573	Recon3D	HMR_8573	https://identifiers.org/vmhreaction:HMR_8573
HMR_8573	Recon3D	RE0944E	https://identifiers.org/vmhreaction:RE0944E
HMR_8573	MetaNetX	MNXR101623	https://identifiers.org/metanetx.reaction:MNXR101623
HMR_8573	HMR 2.0	HMR_8573	
HMR_8573	Ratcon	RCR30249	
HMR_8574	EHMN	RE0935	
HMR_8574	Recon3D	HMR_8574	https://identifiers.org/vmhreaction:HMR_8574
