# TO BE USED TO INSERT MODEL ANNOTATIONS IN METABOLIC ATLAS DATABASE
# for REACTION ONLY
# annotations will be visible in the GEM browser pages and some can be used by the search engine
#
# some rules:
# this is a TAB separated file, thus TABs are not allowed in any field values
# each line added must have exactly 3 columns to be parsed properly
# do not modify the @ line
# column 'id' is mandatory, other columns are optional
# follow the max size limits
#
# columns description:
# column name    | description
# -----------------------------------------
# ec             | EC code, semicolon separated values
# pmid           | PMID, semicolon separated values
#
@id	ec	pmid
HMR_4604	EC:2.3.3.10	11087424; 11108725; 1358203; 7893153
HMR_5351	EC:1.1.1.27	
HMR_7709	EC:4.2.1.55	
HMR_4052	EC:2.7.6.1	11101685; 7572345
HMR_4304	EC:1.1.1.49	15774558; 16756494; 2753047; 4169027
HMR_4306	EC:1.1.1.49	15774558; 16756494; 2753047; 4169027
HMR_4350	EC:2.7.1.15	13295274; 17618002
HMR_4351	EC:5.3.1.6	14690456; 14988808; 15234337; 2843500
HMR_4352	EC:5.3.1.6	14690456; 14988808; 15234337; 2843500
HMR_4354	EC:5.4.2.2; EC:5.4.2.7	14953458; 3023765; 5769188; 8050998
HMR_4398	EC:4.1.2.4	4989681; 9226884
HMR_4404	EC:2.2.1.1	234468; 2495942; 2843500; 3089282; 5141430; 7115375; 7154948; 9924800
HMR_4473	EC:1.1.1.44	12398160; 1504088; 15558954; 16756494; 2753047; 3943305; 6212636; 7194116; 7225115; 7623792
HMR_4474	EC:1.1.1.44	12398160; 1504088; 15558954; 16756494; 2753047; 3943305; 6212636; 7194116; 7225115; 7623792
HMR_4476	EC:2.3.1.57	10978316
HMR_4477	EC:5.1.3.1	15234337; 234468; 2843500
HMR_4501	EC:2.2.1.1	13385248; 2495942
HMR_4565	EC:2.2.1.2	8549825
HMR_4567	EC:2.7.1.11	4084320; 4272358
HMR_4568	EC:2.7.1.11	11945275
HMR_9799	EC:2.7.1.14	
HMR_9800	EC:2.7.1.3	
HMR_4623	EC:3.1.1.31	3858849; 3932573; 6852020; 971315
HMR_4625	EC:3.1.1.31	3858849; 3932573; 6852020; 971315
HMR_4710	EC:5.4.2.7	3023765
HMR_4841	EC:1.2.1.5	15234337
HMR_8074	EC:2.7.1.15	
HMR_8653	EC:3.1.1.31	
HMR_3998	EC:3.6.1.5; EC:3.6.1.6	11278936
HMR_4000	EC:4.6.1.1; EC:4.6.1.2	10966920; 15659711
HMR_4002	EC:2.7.4.3	16798851; 1969292; 211388; 6182143; 6244157
HMR_4004	EC:2.7.4.3	16798851; 1969292; 211388; 6182143; 6244157
HMR_4010	EC:3.1.3.5	1550832
HMR_4081	EC:3.1.3.5	1550832
HMR_4082	EC:3.1.3.5	1550832
HMR_4012	EC:2.7.1.20; EC:2.7.1.74	132087; 3030413; 6315069
