@id	pmid	ec
RE2522X	9038184; 9164836	EC:2.5.1.18
RE2523X	9038184; 9164836	EC:2.5.1.18
RE2524X	10903891	EC:2.5.1.18
RE2525X	10783391; 12042665; 12618591; 12720545; 14742434; 1885604; 2034681; 2345169; 7587384; 7789971; 8276420; 8307579; 8473333; 8617495; 8703034; 9278457; 9396740; 9417084; 9480897; 9503014	EC:2.5.1.18
RE2541E	10191290	EC:3.2.1.31
RE2541L	10191290	EC:3.2.1.31
RE2591C	8325534	EC:2.5.1.18
RE2601C	12044950	EC:3.4.15.1
RE2622C	10537291	EC:2.4.1.17
RE2622R	10537291	EC:2.4.1.17
RE2625M	9660774	EC:1.14.13.67
RE2626C	9210654; 9660774	
RE2626M	9210654; 9660774	
RE2632C	9660774	EC:2.1.1.13
RE2633C	10706592; 9931427	EC:1.11.1.7
RE2675C	10722759; 10880336; 11937514; 8449895	
RE2677E	423891; 9125199	EC:2.4.1.47
RE2677N	423891; 9125199	EC:2.4.1.47
RE2718G	1330860	EC:2.8.2.11
RE2722G	1330860	EC:2.8.2.11
RE2746C	12044950	
RE2768R	10049998	EC:2.3.1.65
RE2814M		EC:3.5.1.14
RE2852C	10694406	
RE2888N	10600166	EC:1.11.1.7
RE2898C	11160563	EC:1.1.1.188
RE2908C	11427448; 7923814; 8319713; 9920399	EC:1.1.1.35
RE2909C	11427448; 7923814; 8319713; 9920399	EC:1.1.1.35
RE2910C	11427448	EC:1.1.1.35
RE2910M	11427448	EC:1.1.1.35
RE2910X	11427448	EC:1.1.1.35
RE2911C	7669785	EC:1.1.1.2
RE2912M	10479480; 9784915	EC:6.2.1.3
RE2912X	10479480; 9784915	EC:6.2.1.3
RE2913X	1047780; 11135616; 8973539	EC:1.3.99.3
RE2914X	1047780; 11135616; 8973539	EC:1.3.99.3
RE2915M	1047780; 11135616; 8973539	EC:1.3.99.3
